com.apple.kernel vm=0xfffffe000700c000 file=0x8000
com.apple.kec.Libm vm=0xfffffe0007130000 file=0x12c000
com.apple.kec.pthread vm=0xfffffe00071370a0 file=0x1330a0
com.apple.driver.AFKHIDTBDevice vm=0xfffffe0007137e60 file=0x133e60
com.apple.AGXFirmwareKextG14XRTBuddy vm=0xfffffe0007139870 file=0x135870
com.apple.AGXFirmwareKextRTBuddy64 vm=0xfffffe000713a690 file=0x136690
com.apple.AGXG14X vm=0xfffffe000713e690 file=0x13a690
com.apple.AUC vm=0xfffffe0007150e20 file=0x14ce20
com.apple.driver.AppleA7IOP-ASCWrap-v4 vm=0xfffffe0007153b30 file=0x14fb30
com.apple.driver.AppleA7IOP-MXWrap-v1 vm=0xfffffe0007154450 file=0x150450
com.apple.driver.AppleA7IOP vm=0xfffffe0007154df0 file=0x150df0
com.apple.driver.AppleAHCIPort vm=0xfffffe00071563c0 file=0x1523c0
com.apple.driver.AppleALSColorSensor vm=0xfffffe00071595a0 file=0x1555a0
com.apple.driver.AppleANELoadBalancer vm=0xfffffe000715e6e0 file=0x15a6e0
com.apple.driver.AppleAOPAudio vm=0xfffffe00071626e0 file=0x15e6e0
com.apple.driver.AppleAOPVoiceTrigger vm=0xfffffe000716f4e0 file=0x16b4e0
com.apple.iokit.AppleARMIISAudio vm=0xfffffe0007173170 file=0x16f170
com.apple.driver.AppleARMPMU vm=0xfffffe0007179550 file=0x175550
com.apple.driver.AppleARMPlatform vm=0xfffffe000717c9d0 file=0x1789d0
com.apple.driver.AppleARMWatchdogTimer vm=0xfffffe000718d1c0 file=0x1891c0
com.apple.driver.AppleAVD vm=0xfffffe000718eec0 file=0x18aec0
com.apple.driver.AppleAVE2 vm=0xfffffe0007277d90 file=0x273d90
com.apple.driver.AppleActuatorDriver vm=0xfffffe0007367df0 file=0x363df0
com.apple.driver.AppleAudioClockLibs vm=0xfffffe0007369a20 file=0x365a20
com.apple.driver.AppleAuthCP vm=0xfffffe000736a260 file=0x366260
com.apple.driver.AppleBCMWLANBusInterfacePCIe vm=0xfffffe000736ed90 file=0x36ad90
com.apple.driver.AppleBCMWLANCore vm=0xfffffe00073867a0 file=0x3827a0
com.apple.driver.AppleBSDKextStarter vm=0xfffffe00074008b0 file=0x3fc8b0
com.apple.driver.AppleBTM vm=0xfffffe0007400f40 file=0x3fcf40
com.apple.driver.AppleBiometricSensor vm=0xfffffe0007406410 file=0x402410
com.apple.driver.AppleBiometricServices vm=0xfffffe0007414d40 file=0x410d40
com.apple.driver.AppleBluetoothDebug vm=0xfffffe0007415d40 file=0x411d40
com.apple.driver.AppleBluetoothDebugService vm=0xfffffe0007417d10 file=0x413d10
com.apple.driver.AppleBluetoothModule vm=0xfffffe0007418320 file=0x414320
com.apple.driver.AppleBluetoothMultitouch vm=0xfffffe000741b020 file=0x417020
com.apple.driver.AppleBluetoothRemote vm=0xfffffe000741d560 file=0x419560
com.apple.driver.AppleCSEmbeddedAudio vm=0xfffffe000741f670 file=0x41b670
com.apple.driver.AppleCallbackPowerSource vm=0xfffffe00074204f0 file=0x41c4f0
com.apple.driver.AppleConvergedIPCOLYBTControl vm=0xfffffe0007421cd0 file=0x41dcd0
com.apple.driver.AppleConvergedPCI vm=0xfffffe000742a110 file=0x426110
com.apple.driver.AppleCredentialManager vm=0xfffffe0007431190 file=0x42d190
com.apple.driver.AppleDCP vm=0xfffffe000744e9e0 file=0x44a9e0
com.apple.driver.AppleDCPDPTXProxy vm=0xfffffe0007450e20 file=0x44ce20
com.apple.driver.AppleDPDisplayTCON vm=0xfffffe0007452f20 file=0x44ef20
com.apple.driver.AppleDPRepeater vm=0xfffffe0007454820 file=0x450820
com.apple.driver.AppleDPTX vm=0xfffffe0007458420 file=0x454420
com.apple.driver.AppleDiagnosticDataAccessReadOnly vm=0xfffffe00074643c0 file=0x4603c0
com.apple.driver.AppleDialogPMU vm=0xfffffe0007464cb0 file=0x460cb0
com.apple.driver.AppleDiskImages2 vm=0xfffffe00074658d0 file=0x4618d0
com.apple.driver.AppleDisplayCrossbar vm=0xfffffe000746bf30 file=0x467f30
com.apple.driver.AppleDockChannel vm=0xfffffe0007478710 file=0x474710
com.apple.driver.AppleEffaceableBlockDevice vm=0xfffffe000747a2b0 file=0x4762b0
com.apple.driver.AppleEffaceableNOR vm=0xfffffe000747a9f0 file=0x4769f0
com.apple.driver.AppleEffaceableStorage vm=0xfffffe000747b140 file=0x477140
com.apple.driver.AppleEffaceableTDM vm=0xfffffe000747cc50 file=0x478c50
com.apple.driver.AppleEmbeddedAudio vm=0xfffffe000747d2e0 file=0x4792e0
com.apple.driver.AppleCS42L84Audio vm=0xfffffe0007485240 file=0x481240
com.apple.driver.AppleSN012776Amp vm=0xfffffe000748aaa0 file=0x486aa0
com.apple.driver.AppleEmbeddedAudioLibs vm=0xfffffe000748b5a0 file=0x4875a0
com.apple.driver.AppleEmbeddedLightSensor vm=0xfffffe00074910f0 file=0x48d0f0
com.apple.driver.AppleEmbeddedPCIE vm=0xfffffe0007494170 file=0x490170
com.apple.AppleEmbeddedSimpleSPINORFlasher vm=0xfffffe000749ef60 file=0x49af60
com.apple.driver.AppleEmbeddedTempSensor vm=0xfffffe00074a0a40 file=0x49ca40
com.apple.driver.AppleEmbeddedUSBHost vm=0xfffffe00074a3d30 file=0x49fd30
com.apple.kec.AppleEncryptedArchive vm=0xfffffe00074a5500 file=0x4a1500
com.apple.driver.AppleEventLogHandler vm=0xfffffe00074a5a20 file=0x4a1a20
com.apple.driver.AppleFDEKeyStore vm=0xfffffe00074a66e0 file=0x4a26e0
com.apple.AppleFSCompression.AppleFSCompressionTypeDataless vm=0xfffffe00074a7140 file=0x4a3140
com.apple.AppleFSCompression.AppleFSCompressionTypeZlib vm=0xfffffe00074a7c80 file=0x4a3c80
com.apple.driver.AppleFileSystemDriver vm=0xfffffe00074abca0 file=0x4a7ca0
com.apple.driver.AppleFireStormErrorHandler vm=0xfffffe00074ac540 file=0x4a8540
com.apple.driver.AppleFirmwareKit vm=0xfffffe00074ad890 file=0x4a9890
com.apple.driver.AppleFirmwareUpdateKext vm=0xfffffe00074b3fc0 file=0x4affc0
com.apple.driver.AppleGL3590FirmwareUpdater vm=0xfffffe00074b4e80 file=0x4b0e80
com.apple.driver.AppleGPIOICController vm=0xfffffe00074b5b10 file=0x4b1b10
com.apple.driver.AppleGameControllerPersonality vm=0xfffffe00074b73e0 file=0x4b33e0
com.apple.driver.AppleH11ANEInterface vm=0xfffffe00074b7ec0 file=0x4b3ec0
com.apple.driver.AppleH13CameraInterface vm=0xfffffe00075041b0 file=0x5001b0
com.apple.driver.AppleHIDALSService vm=0xfffffe0007519cd0 file=0x515cd0
com.apple.driver.AppleHIDKeyboard vm=0xfffffe000751a470 file=0x516470
com.apple.driver.AppleBluetoothHIDKeyboard vm=0xfffffe000751bb20 file=0x517b20
com.apple.driver.AppleHIDMouse vm=0xfffffe000751c210 file=0x518210
com.apple.driver.AppleBluetoothHIDMouse vm=0xfffffe000751cf50 file=0x518f50
com.apple.driver.AppleUSBHIDMouse vm=0xfffffe000751daa0 file=0x519aa0
com.apple.driver.AppleHIDTransport vm=0xfffffe000751e5e0 file=0x51a5e0
com.apple.driver.AppleHIDTransportFIFO vm=0xfffffe000752bfa0 file=0x527fa0
com.apple.driver.AppleHIDTransportSCMCommon vm=0xfffffe000752f270 file=0x52b270
com.apple.driver.AppleHIDTransportSPI vm=0xfffffe000752ffb0 file=0x52bfb0
com.apple.driver.AppleHPM vm=0xfffffe00075386c0 file=0x5346c0
com.apple.driver.AppleHighVoltageCharger vm=0xfffffe000754c980 file=0x548980
com.apple.driver.AppleIISController vm=0xfffffe000754e3d0 file=0x54a3d0
com.apple.driver.AppleIPAppender vm=0xfffffe000754f900 file=0x54b900
com.apple.security.AppleImage4 vm=0xfffffe0007550630 file=0x54c630
com.apple.driver.AppleInputDeviceSupport vm=0xfffffe0007566320 file=0x562320
com.apple.driver.AppleInterruptControllerV2 vm=0xfffffe000756a7a0 file=0x5667a0
com.apple.driver.AppleJPEGDriver vm=0xfffffe000756b430 file=0x567430
com.apple.driver.AppleLMBacklight vm=0xfffffe000757b020 file=0x577020
com.apple.driver.AppleLSIFusionMPT vm=0xfffffe000757bb10 file=0x577b10
com.apple.driver.AppleLockdownMode vm=0xfffffe000757f840 file=0x57b840
com.apple.driver.AppleM2ScalerCSCDriver vm=0xfffffe0007584a70 file=0x580a70
com.apple.driver.AppleM68Buttons vm=0xfffffe000766dac0 file=0x669ac0
com.apple.driver.AppleMCA2-T602x vm=0xfffffe0007673a40 file=0x66fa40
com.apple.kext.AppleMatch vm=0xfffffe000767a160 file=0x676160
com.apple.driver.AppleMesaSEPDriver vm=0xfffffe000767a6b0 file=0x6766b0
com.apple.driver.AppleMobileApNonce vm=0xfffffe0007685410 file=0x681410
com.apple.driver.AppleMobileDispT602X-DCP vm=0xfffffe0007687460 file=0x683460
com.apple.driver.AppleMobileFileIntegrity vm=0xfffffe00076907c0 file=0x68c7c0
com.apple.driver.AppleMultiFunctionManager vm=0xfffffe00076ae770 file=0x6aa770
com.apple.driver.AppleMultitouchDriver vm=0xfffffe00076b1420 file=0x6ad420
com.apple.driver.AppleNANDConfigAccess vm=0xfffffe00076b6ec0 file=0x6b2ec0
com.apple.driver.AppleOLYHAL vm=0xfffffe00076b74e0 file=0x6b34e0
com.apple.driver.AppleOnboardSerial vm=0xfffffe00076bebb0 file=0x6babb0
com.apple.driver.ApplePIODMA vm=0xfffffe00076c0c90 file=0x6bcc90
com.apple.driver.ApplePM40100MgmtEP vm=0xfffffe00076c1cc0 file=0x6bdcc0
com.apple.driver.ApplePMGR vm=0xfffffe00076c3d70 file=0x6bfd70
com.apple.driver.ApplePMP vm=0xfffffe00076d4840 file=0x6d0840
com.apple.driver.ApplePMPFirmware vm=0xfffffe00076d63c0 file=0x6d23c0
com.apple.driver.ApplePassthroughPPM vm=0xfffffe00076d6dd0 file=0x6d2dd0
com.apple.driver.AppleProResHW vm=0xfffffe00076eca00 file=0x6e8a00
com.apple.driver.AppleRAID vm=0xfffffe00076fa3d0 file=0x6f63d0
com.apple.driver.AppleRSMChannel vm=0xfffffe00076fcd80 file=0x6f8d80
com.apple.driver.AppleS5L8920XPWM vm=0xfffffe00076fda20 file=0x6f9a20
com.apple.driver.AppleS5L8940XI2C vm=0xfffffe00076fe570 file=0x6fa570
com.apple.driver.AppleS5L8960XNCO vm=0xfffffe00076ff4d0 file=0x6fb4d0
com.apple.driver.AppleS8000AES vm=0xfffffe00076ffbb0 file=0x6fbbb0
com.apple.driver.AppleS8000DWI vm=0xfffffe0007701620 file=0x6fd620
com.apple.driver.AppleSART vm=0xfffffe0007701e60 file=0x6fde60
com.apple.driver.AppleSCDriver vm=0xfffffe0007703220 file=0x6ff220
com.apple.driver.AppleSDXC vm=0xfffffe000770e330 file=0x70a330
com.apple.iokit.AppleSEPGenericTransfer vm=0xfffffe00077137b0 file=0x70f7b0
com.apple.driver.AppleSEPHDCPManager vm=0xfffffe0007714b70 file=0x710b70
com.apple.driver.AppleSEPKeyStore vm=0xfffffe0007715fa0 file=0x711fa0
com.apple.driver.AppleSEPManager vm=0xfffffe000771c3b0 file=0x7183b0
com.apple.driver.AppleSMC vm=0xfffffe000772a440 file=0x726440
com.apple.driver.AppleSPIMC vm=0xfffffe0007734250 file=0x730250
com.apple.driver.AppleSPMI vm=0xfffffe0007736080 file=0x732080
com.apple.driver.AppleSPMIPMU vm=0xfffffe0007739370 file=0x735370
com.apple.driver.AppleSPU vm=0xfffffe000773c680 file=0x738680
com.apple.driver.AppleSSE vm=0xfffffe0007742930 file=0x73e930
com.apple.driver.AppleSamsungSerial vm=0xfffffe0007744840 file=0x740840
com.apple.driver.AppleSerialShim vm=0xfffffe0007744ff0 file=0x740ff0
com.apple.driver.AppleSleepPowerPolicy vm=0xfffffe00077457c0 file=0x7417c0
com.apple.driver.AppleSmartBatteryManager vm=0xfffffe0007746300 file=0x742300
com.apple.driver.AppleSmartIO2 vm=0xfffffe0007753540 file=0x74f540
com.apple.driver.AppleStockholmControl vm=0xfffffe0007758470 file=0x754470
com.apple.driver.AppleUSBCardReader vm=0xfffffe000775d070 file=0x759070
com.apple.driver.AppleUSBMassStorageInterfaceNub vm=0xfffffe000775ea10 file=0x75aa10
com.apple.driver.AppleUSBODD vm=0xfffffe000775f2a0 file=0x75b2a0
com.apple.driver.AppleUSBTDM vm=0xfffffe000775fa50 file=0x75ba50
com.apple.driver.AppleSummitLCD vm=0xfffffe0007760870 file=0x75c870
com.apple.driver.AppleSynopsysMIPIDSI vm=0xfffffe0007761db0 file=0x75ddb0
com.apple.driver.AppleSyntheticGameController vm=0xfffffe0007764b30 file=0x760b30
com.apple.AppleSystemPolicy vm=0xfffffe0007765cc0 file=0x761cc0
com.apple.driver.AppleT6000DART vm=0xfffffe0007769060 file=0x765060
com.apple.driver.AppleT6000PCIeC vm=0xfffffe000776a920 file=0x766920
com.apple.driver.AppleT6020 vm=0xfffffe0007776230 file=0x772230
com.apple.driver.AppleT6020CLPC vm=0xfffffe000777f7b0 file=0x77b7b0
com.apple.driver.AppleT6020PCIeCPIODMA vm=0xfffffe0007784680 file=0x780680
com.apple.driver.AppleT6020PCIePIODMA vm=0xfffffe00077856c0 file=0x7816c0
com.apple.driver.AppleT6020PMGR vm=0xfffffe0007786770 file=0x782770
com.apple.driver.AppleT6020SOCTuner vm=0xfffffe00077893c0 file=0x7853c0
com.apple.driver.AppleT6021PMGR vm=0xfffffe0007789fb0 file=0x785fb0
com.apple.driver.AppleT6022CLPC vm=0xfffffe000778cbe0 file=0x788be0
com.apple.driver.AppleT602xPCIe vm=0xfffffe0007791e10 file=0x78de10
com.apple.driver.AppleT8110DART vm=0xfffffe00077970d0 file=0x7930d0
