kernel                                n  mean_us     p50     p90   max_us  top-gx
QmmVecQ4MultiSubgroupBF16         32544     66.3    55.5   102.5   2346.2  [(256, 16272), (1536, 8136), (260, 6102)]
QmmVecQ4WordSubgroupBF16           6441    127.0    58.4    71.6   1370.2  [(768, 6102), (31040, 339)]
FastRmsNormBF16                   27768     29.1    27.9    39.1   3410.8  [(1, 16611), (16, 6149), (2, 2034)]
GatedDeltaDecodeBF16               6102    116.3   114.0   118.8    232.4  [(16, 6102)]
QmmPrefillCoopmatBF16X32            855    746.5   298.2  2829.1 114961.6  [(192, 770), (64, 66), (16, 12)]
CastBF16F32                       21531     24.3    22.0    31.4    365.3  [(8, 14238), (88, 693), (80, 518)]
GatedDeltaPrefillBF16               396   1273.3  1209.2  1639.8   1735.9  [(16, 396)]
QmmPrefillCoopmatM16BF16X32        1323    320.8   246.0   643.4    890.0  [(64, 704), (1, 432), (16, 132)]
FusedChainF32                     13068     32.5    33.3    38.2    979.9  [(8, 12204), (1, 396), (88, 108)]
FastNormGatedBF16                 12564     32.9    33.2    38.4    190.6  [(16, 12204), (176, 108), (160, 72)]
CopyGeneralBF16                   14250     28.8    27.5    33.9    178.4  [(8, 4068), (2, 4068), (72, 739)]
CastF32BF16                        8413     29.8    27.8    32.7   1679.5  [(8, 8136), (88, 69), (80, 46)]
LogSumExpBF16                       339    668.5   673.1   680.0    707.2  [(1, 339)]
MatmulF32                          4068     54.1    67.5    72.4   1348.0  [(16, 2034), (2, 978), (3, 798)]
FusedChainBF16                     6534     30.9    25.1    39.5    544.2  [(24, 6102), (1, 180), (264, 54)]
FastRopeBF16                       4201     39.9    40.1    45.2   1239.8  [(1, 2034), (4, 2034), (11, 18)]
