SET-WRITE capture start (25G83 adaptation 3)
WRITE t=40736416 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=40736778 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=40736789 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=40736797 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=40736803 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=40736812 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=40736820 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=40736843 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=40822894 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=40822906 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=40822922 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=40822930 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=40822937 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=40822949 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=40822955 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=40822960 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=40823234 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=40823253 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=40847927 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=40848275 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=40848284 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=40848296 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=40848305 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
